id,stats.playerName,stats.playerID,stats.jerseyNumber,stats.playCategory,stats.dateOfMoment,stats.birthplace,date,set name,set id,play,birthplace,circ_count
232d368d-5699-4ef9-ad8b-3dc99ecb9ebc,LeBron James,2544,23,Dunk,2021-02-13T03:00:00Z,"Akron, OH, USA",2021-02-12,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,LeBron James Dunk 2021-02-12 Seeing Stars (Series 2),"Akron, OH, USA",4568
eb546ff6-e185-4af7-a85c-69c652729375,Mike Conley,201144,10,Assist,2021-01-31T20:30:00Z,"Fayetteville, AR, USA",2021-01-31,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Mike Conley Assist 2021-01-31 Seeing Stars (Series 2),"Fayetteville, AR, USA",6688
3c94426c-3211-4673-b1d4-e90d53ec5a73,Kevin Durant,201142,7,Dunk,2021-01-16T23:00:00Z,"Washington, DC, USA",2021-01-16,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Kevin Durant Dunk 2021-01-16 Seeing Stars (Series 2),"Washington, DC, USA",4182
0445c38e-c13c-44b4-b3aa-e2c21eca7407,Bradley Beal,203078,3,Layup,2021-01-12T00:00:00Z,"St. Louis, MO, USA",2021-01-11,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Bradley Beal Layup 2021-01-11 Seeing Stars (Series 2),"St. Louis, MO, USA",10000
1d8726cd-08f1-4725-a85f-ac56470bad3b,Rudy Gobert,203497,27,Dunk,2021-02-13T02:00:00Z,"Saint-Quentin,, FRA",2021-02-12,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Rudy Gobert Dunk 2021-02-12 Seeing Stars (Series 2),"Saint-Quentin,, FRA",10000
d54193d1-e0ed-4217-b2d1-884406d78acf,Joel Embiid,203954,21,Dunk,2021-02-10T03:00:00Z,"Yaounde,, CMR",2021-02-09,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Joel Embiid Dunk 2021-02-09 Seeing Stars (Series 2),"Yaounde,, CMR",10000
fb374ad0-f5ba-4295-98ae-e80b77586db3,Nikola Vučević,202696,9,Dunk,2021-02-20T00:00:00Z,"Morges,, CHE",2021-02-19,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Nikola Vučević Dunk 2021-02-19 Seeing Stars (Series 2),"Morges,, CHE",10000
8ac4171e-4fea-4474-ae66-33761a2d662b,Nikola Jokić,203999,15,Assist,2021-02-20T00:00:00Z,"Sombor,, SRB",2021-02-19,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Nikola Jokić Assist 2021-02-19 Seeing Stars (Series 2),"Sombor,, SRB",10000
f3266ac2-958a-48c6-901d-6bb07a0f6201,Donovan Mitchell,1628378,45,Handles,2021-01-22T03:00:00Z,"Elmsford, NY, USA",2021-01-21,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Donovan Mitchell Handles 2021-01-21 Seeing Stars (Series 2),"Elmsford, NY, USA",10000
372a5af0-d643-48fc-8844-e36bb08df489,Ben Simmons,1627732,25,Layup,2021-01-07T00:00:00Z,"Melbourne,, AUS",2021-01-06,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Ben Simmons Layup 2021-01-06 Seeing Stars (Series 2),"Melbourne,, AUS",10000
b46632ff-2de0-4a4e-bb7b-c0a76a20352f,Domantas Sabonis,1627734,11,Layup,2021-02-04T00:00:00Z,"Portland, OR, USA",2021-02-03,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Domantas Sabonis Layup 2021-02-03 Seeing Stars (Series 2),"Portland, OR, USA",10000
e0d5ef06-6b7b-4c70-874e-d478e46ac57b,Steph Curry,201939,30,3 Pointer,2021-01-28T03:00:00Z,"Akron, OH, USA",2021-01-27,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Steph Curry 3 Pointer 2021-01-27 Seeing Stars (Series 2),"Akron, OH, USA",10000
665aaac2-f124-4303-a945-e002a4a3f298,Devin Booker,1626164,1,Jump Shot,2021-01-12T00:00:00Z,"Grand Rapids, MI, USA",2021-01-11,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Devin Booker Jump Shot 2021-01-11 Seeing Stars (Series 2),"Grand Rapids, MI, USA",10000
d7a764a7-a397-4c5e-98a3-0a69c9406011,Damian Lillard,203081,0,3 Pointer,2021-01-08T03:00:00Z,"Oakland, CA, USA",2021-01-07,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Damian Lillard 3 Pointer 2021-01-07 Seeing Stars (Series 2),"Oakland, CA, USA",10000
a8b1a2bf-4142-4e12-a7f8-5854287c84b1,Zion Williamson,1629627,1,Jump Shot,2021-01-20T02:00:00Z,"Salisbury, NC, USA",2021-01-19,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Zion Williamson Jump Shot 2021-01-19 Seeing Stars (Series 2),"Salisbury, NC, USA",10000
dbeffa71-0f71-4b35-a0e5-40ce056c7860,Giannis Antetokounmpo,203507,34,Dunk,2021-02-07T01:00:00Z,"Athens,, GRC",2021-02-06,Seeing Stars,122b048d-585e-4c63-8275-c23949576fd6,Giannis Antetokounmpo Dunk 2021-02-06 Seeing Stars (Series 2),"Athens,, GRC",10000
